,hex_id,value,geometry
39,87344cc93ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.650803074951494, 28.194195701173285), (-16.660873159899992, 28.1837429403663), (-16.655791689382824, 28.170948665349687), (-16.640643856010808, 28.16860638255644), (-16.63057393833885, 28.179056907850253), (-16.635651685951487, 28.191851951121652), (-16.650803074951494, 28.194195701173285))]}"
40,87344cd04ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.3579406376953, 28.460938920557883), (-16.368063801281554, 28.4505087449246), (-16.363015768098776, 28.43769521460009), (-16.347848337967303, 28.43531112841163), (-16.337725391288746, 28.445739076054245), (-16.34276965702917, 28.458553337542888), (-16.3579406376953, 28.460938920557883))]}"
41,87344c515ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.6555120411152, 28.06285175420386), (-16.665566761668394, 28.052401387103398), (-16.660492080766172, 28.039615336381118), (-16.645366389971183, 28.03727888057133), (-16.63531183541957, 28.047727008835377), (-16.640382804853907, 28.060513831416834), (-16.6555120411152, 28.06285175420386))]}"
42,87344cc82ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.600352349392082, 28.21040408472053), (-16.610428184986304, 28.199955760597067), (-16.605354162860575, 28.187159951905233), (-16.590208032397104, 28.184811704422476), (-16.580132372477937, 28.19525779353364), (-16.585202666538148, 28.208054364810273), (-16.600352349392082, 28.21040408472053))]}"
43,87344cc04ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.393412514948064, 28.298262684498514), (-16.40351426597788, 28.287832261360087), (-16.398469651016118, 28.27502895566768), (-16.38332703513492, 28.272655334011045), (-16.37322549435162, 28.28308352487101), (-16.37826635840102, 28.295887569333463), (-16.393412514948064, 28.298262684498514))]}"
44,87344cda3ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.50968172751217, 28.412574090399254), (-16.519787730957724, 28.40213030682043), (-16.51471714695898, 28.389321223393843), (-16.49954431074506, 28.386955174939068), (-16.48943849882712, 28.397396728863082), (-16.494505330785003, 28.41020656056578), (-16.50968172751217, 28.412574090399254))]}"
45,87346a6e3ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.155511480383858, 28.52512897829458), (-16.16565732574457, 28.514717135266068), (-16.160639503381123, 28.501897835668704), (-16.145479622621476, 28.499489670482454), (-16.13533402804808, 28.50989928791044), (-16.140348062649906, 28.522719295789233), (-16.155511480383858, 28.52512897829458))]}"
46,87344cd00ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.363015768098776, 28.43769521460009), (-16.37313586781221, 28.42726499080042), (-16.368088322246546, 28.414452909751468), (-16.35292444123807, 28.412070319917508), (-16.342804557476665, 28.422498315111028), (-16.347848337967303, 28.43531112841163), (-16.363015768098776, 28.43769521460009))]}"
47,87344136cffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.64108036912887, 28.34886487092231), (-16.651168919711704, 28.338409832791886), (-16.646080127871887, 28.325605994596827), (-16.630906521381196, 28.323256430626426), (-16.620818140277347, 28.333709237195677), (-16.625903195370494, 28.346513838967525), (-16.64108036912887, 28.34886487092231))]}"
48,87344c52effffff,0,"{'type': 'Polygon', 'coordinates': [((-16.559759015757837, 28.072031020325078), (-16.569822155109577, 28.061589495845755), (-16.564762838023317, 28.048801882326316), (-16.5496441001799, 28.04645503134086), (-16.53958114263464, 28.05689431738796), (-16.544636740322918, 28.069682692522537), (-16.559759015757837, 28.072031020325078))]}"
49,87344cd2affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.317518870634178, 28.430538439046444), (-16.327641597131407, 28.420112719723015), (-16.322602067387766, 28.407300627924595), (-16.307443578153112, 28.40491352748592), (-16.297321075106378, 28.415337018163488), (-16.302356837041703, 28.428149837591903), (-16.317518870634178, 28.430538439046444))]}"
50,87346a68dffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.266743461731142, 28.554775337966724), (-16.276884365353126, 28.544352214931244), (-16.271846202065877, 28.531532184474987), (-16.256670916568485, 28.52913455740294), (-16.246530245458626, 28.53955545518326), (-16.251564626530897, 28.55237620495641), (-16.266743461731142, 28.554775337966724))]}"
