,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
173,883441271dfffff,2607.5,60.67,3
174,88344120d7fffff,2976.5,52.12,29
175,8834412711fffff,2657.5,50.0,2
176,88344c5011fffff,2257.75,52.3,5
177,88344120d1fffff,3024.5,64.15,4
178,88344c528dfffff,1848.25,43.61,53
179,8834412747fffff,2673.25,62.5,3
180,883441240bfffff,2770.75,34.0,2
181,88344c5329fffff,2600.0,41.11,3
182,88344c5329fffff,2600.0,41.11,3
183,8834412763fffff,2870.25,80.0,1
184,8834412461fffff,3438.25,37.0,1
185,88344120d9fffff,3255.75,43.33,1
186,88344c5113fffff,3303.75,45.72,24
187,88344120cbfffff,3264.5,55.21,54
188,88344c5301fffff,2847.0,61.4,10
189,8834412701fffff,3067.25,67.53,7
190,88344c5353fffff,2856.5,42.25,2
191,88344124dbfffff,2663.5,46.5,5
192,8834412293fffff,2955.75,35.5,4
193,88344c5229fffff,2755.5,49.0,2
194,88344122b5fffff,3369.0,57.51,44
195,8834412283fffff,3014.25,22.5,1
196,8834412705fffff,3198.0,38.0,1
197,8834412291fffff,3029.0,34.67,2
198,8834412409fffff,3014.0,75.0,1
199,88344c5287fffff,2250.25,28.0,1
200,8834412707fffff,3462.0,66.64,4
201,8834412709fffff,3077.5,37.33,1
202,8834412445fffff,3091.75,26.67,1
203,8834412445fffff,3091.75,26.67,1
204,88344120d5fffff,3460.5,69.31,8
205,88344120d5fffff,3460.5,69.31,8
206,88344120d5fffff,3460.5,69.31,8
207,88344120d5fffff,3460.5,69.31,8
208,883441276dfffff,3089.0,43.0,5
209,88344120c9fffff,3489.5,49.3,126
210,88344c5289fffff,2345.75,47.5,50
211,88344c521dfffff,2696.0,25.0,1
212,88344c5239fffff,2847.0,,1
213,88344c5357fffff,3105.5,67.3,17
214,88344c5203fffff,2758.25,45.01,5
215,88344c520dfffff,2899.0,62.0,3
216,883441244dfffff,3235.75,53.17,3
217,88344c5281fffff,2429.25,43.63,222
218,88344c5281fffff,2429.25,43.63,222
219,88344c526bfffff,2949.0,31.5,6
220,88344124d9fffff,3001.75,158.65,11
221,8834412455fffff,3271.5,39.22,5
222,88344122a3fffff,3674.5,50.83,106
223,88344c5303fffff,3221.75,63.33,3
224,8834412765fffff,3302.5,67.0,1
225,8834412765fffff,3302.5,67.0,1
226,88344c530bfffff,3224.75,59.72,8
227,8834412457fffff,3323.5,65.33,3
228,88344c52c1fffff,2912.75,58.0,1
229,8834412297fffff,3331.0,105.0,1
230,88344c5351fffff,3292.5,40.62,4
231,88344122bdfffff,3730.75,102.25,2
232,88344c520bfffff,2916.25,27.67,1
233,88344c522dfffff,3228.5,25.0,1
234,88344ccd57fffff,3024.0,27.88,16
235,88344c52d5fffff,2624.0,42.53,10
236,8834412443fffff,3415.75,75.0,1
237,88344c52c3fffff,2633.5,60.08,13
238,88344122b9fffff,3450.25,130.0,3
239,88344c5367fffff,3183.25,53.56,3
240,88344ccf59fffff,3099.0,40.22,32
241,8834412743fffff,3497.25,53.0,1
242,8834412295fffff,3499.25,91.67,6
243,88344c5245fffff,3195.5,45.07,5
244,88344122b3fffff,3515.0,82.62,8
245,88344c5265fffff,3391.0,43.94,3
246,88344120dbfffff,3569.25,56.0,1
247,88344120dbfffff,3569.25,56.0,1
248,88344ccf33fffff,3218.0,34.54,30
249,88344ccd59fffff,3219.25,54.0,3
250,88344c52c7fffff,2950.75,49.0,1
251,88344c52a3fffff,2488.0,37.0,2
252,88344c52a3fffff,2488.0,37.0,2
253,88344122c3fffff,3624.75,20.0,1
254,88344122c3fffff,3624.75,20.0,1
255,88344122c7fffff,3641.5,62.71,7
256,8834412453fffff,3665.0,44.0,1
257,8834412453fffff,3665.0,44.0,1
258,8834413527fffff,3677.25,67.07,14
259,88344c5243fffff,3263.5,40.0,2
260,8834412441fffff,3764.75,62.08,6
261,88344c5209fffff,3315.25,25.0,1
262,88344c536dfffff,3440.0,27.0,3
263,8834413535fffff,3763.25,46.0,4
264,88344122abfffff,4171.5,75.0,1
265,88344122a7fffff,4181.25,45.64,13
266,88344122cbfffff,3812.25,46.0,3
267,88344122cbfffff,3812.25,46.0,3
268,88344c5acdfffff,4299.0,80.5,1
269,88344122c1fffff,3822.5,127.5,2
270,88344c531dfffff,3677.75,66.25,2
271,883441228dfffff,3902.0,39.75,2
272,88344c5257fffff,3383.75,26.67,1
273,88344c530dfffff,3807.25,27.17,2
274,88344cc8b7fffff,3390.5,100.5,2
275,88344cc8bbfffff,3476.75,40.22,3
276,88344cc993fffff,3571.0,45.0,6
277,88344cce65fffff,3534.75,51.48,16
278,88344cce65fffff,3534.75,51.48,16
279,88344cce65fffff,3534.75,51.48,16
280,88344cce65fffff,3534.75,51.48,16
281,88344122cdfffff,3939.25,45.0,1
282,88344122cdfffff,3939.25,45.0,1
283,88344135b7fffff,3942.25,35.8,5
284,88344135b7fffff,3942.25,35.8,5
285,88344cc891fffff,3583.0,58.0,1
286,88344ccf5bfffff,3649.0,43.83,37
287,88344cc8b9fffff,3653.5,40.0,1
288,88344c5241fffff,3586.75,36.0,1
289,88344c5241fffff,3586.75,36.0,1
290,88344c5269fffff,3754.25,36.0,1
291,88344ccf11fffff,3705.75,81.53,6
292,88344c5317fffff,4009.25,141.0,2
293,88344cc1b9fffff,3719.25,37.0,5
294,88344cc1b9fffff,3719.25,37.0,5
295,88344ccf53fffff,3772.25,57.25,1
296,88344cc8dbfffff,3789.0,37.0,1
